review,aspect,aspect_category,sentiment
"HR far away from employees, managers are also very distant from the employees allocated to the client, HR delay to meet certain requests","communication","communication",negative
"Relaxed work environment, competent technical staff, offers freedom to develop activities, encourages the creativity of participatory coordinating staff and integrated with the team.","nature_of_work","nature_of_work",positive
"Little investment in the technical and human development of the employees, seeking in the market technicians with the competence they need and dispensing technicians whose competence is no longer of interest.","conditions","conditions",negative
"Company of great name, which maybe positively influences in the beginning of the race. Opportunity for positive global trainings (when time available for the official to carry out such training)","conditions","conditions",positive
"Company with a very precarious staff management of new employees. In addition to the VERY below average salary, it charges exorbitant commuting with no regard to the employee.","pay","pay",negative
Opportunity to participate in good projects depending on your experience. Large company with good organization and structure.Add to the knowledge.,"nature_of_work","nature_of_work",positive
"The company is great to add experience in the CV because it has several clients and participates in several projects, however, if you are in a project and the same and there is no other opportunity, you have to go to the market. Overall good","conditions","conditions",negative
"Gain experience and knowledge. Reallocation in other projects, if the project you are working on is finished. Possibility to change state.","conditions","conditions",positive
Too much activity overload. Ineffective project and activity management. Tight deadlines that are imposed without parameters or definition metrics.,"supervision","supervision",negative
"Structured and well-defined processes, well assume the role of consulting, salary compatible with the market, has many clients in the national market.","pay","pay",positive
"It still does not have the necessary footprint for the new moment of the technology area, focus on innovation should be the key word, hierarchical model with those managers who only simulate clients,","nature_of_work","nature_of_work",negative
"Connection with the most modern, in terms of technology, to meet the needs of the largest companies in Brazil. Executive leadership with lots of experience and executive access to clients.","conditions","conditions",positive
Complexity and lack of agility to work small projects (<1M USD) and companies outside the list of the 100 largest in Brazil. The market is often not aware of Accenture's services portfolio or has had a negative experience.,"conditions",'conditions",negative
"Company with numerous benefits and chances of growth, giving the participant the freedom to seek new areas for new experiences, job rotation.","nature_of_work","nature_of_work",positive
"Sometimes the communication is a little slow, when the decision gets to the third level from you it is fast, more than it takes the returns. Especially when they are different websites, I believe there are too many formalities to solicit support from a co-worker.","supervision","supervision",negative
"Organizational climate is a considerable differential of the Algar, where you have room to work and autonomy in the decisions that directly affect the company.","nature_of_work","nature_of_work",positive
Career plan is not well designed and well executed. The promotability depends on the involvement with high management and not necessarily meritocracy.,"promotion","promotion",negative
flexible hours; certification and reimbursement plan; bonus on projects; evaluations every year; comfortable place of good infra to work.,"conditions","conditions",positive
"promotions to employees are rare; there is no career monitoring (paper only); evaluations are mere bureaucracy; in many years of work, the only salary increase I had was due to dissidence and it was not for lack of conversations.","promotion","promotion",negative
"Great work environment, company that seeks more and more to make its employees feel more motivated and work with more practical processes. Many benefits, recognitions and salary according to the market.","benefits","benefits",positive
It is very difficult for an employee to get a place to work in another sector within the company. It has many processes that are "plastered"; but are improving over time and managements.,"promotion","promotion",negative
