review,former_emp
"Healthy and balanced environment, with low pressure and great freedom to develop their work. Opportunity to work with new technologies and solutions of large scale, being allowed to propose innovative solutions. The office is well located.",1
"constant scheduling, and management. the process to grow in the company is very draining, and the official is not so well recognized.",1
"Work environment, flexible hours, location, people help each other a lot.",1
"Salary below the market, lack of documentation, everything is a priority, as we have a cafeteria on the site, we are left with little option for lunch.",1
"A young and dynamic company, excellent work environment, great teamwork, one helps the other and has great benefits.",1
"The lack of processes in the company make things a bit slow, there is no well-defined career plan.",1
"The company opens up space for professional growth, and open to diversity and inclusion, offers training for learning in several areas.",1
"They do not offer change from one city to another to all the employees who give qualified, only to the favorites of the same, thus demeaning who really has an interest in staying in the company.",1
"Good structure, good place to work.",1
Bad salary. No possibility of renegotiation.,1
Respect with people.Environment is wonderful. Company policy. The values. All very solid. The pillars well defined. I love working at Dell,1
Every business has opportunities for improvement. I would not know how to talk about a Dell improvement point. Concern for employee well-being begins in Chartered Bus and spreads through everything. &quot;,1
"The conviviality with some people is worth it. The location of the company is good, close to everything and in a neighborhood with plenty of lunch options. The salary is always paid on time.",1
"Poorly trained staff, poor management, excessive authoritarianism, lack of education on the part of managers, some leaders do not respect their subordinates. There is no meritocracy.",1
"Salary and benefits in the market average, Rh employees give good support to those who are allocated in clients and there are a large diversity clients",1
"Lack of feedback for employees allocated to clients, I work on customer, I have no contact with Resource and I feel like a client employee and I do not give Resource",1
Recognition for good commitment to work. Daily feedback on positive and negative points for personal improvement. Good relationship with managers. Semiannual awards reached by members.,1
"Little resolution of complaints made by the employee. After going through a selective process in the company, there is an excessive delay for salary change causing the associate to have the responsibilities of the new position, but with the salary of the previous one.",1
Benefits. Administrative structure. Well equipped offices. Very well prepared teams.,1
Excessive bureaucracy in day-to-day activities. &quot;,1
be a multinational company ... and also have an open market in the,1
"The main point is to say that there is no career plan, that is, there is no expectation of growth for those who do not have a relative or friend with expression within the company",1
Market compatible wage. The company takes care of the employee with attention to details such as commemorative days and birthdays. Access to various courses that add knowledge to the employee.,1
Direct access to HR is sometimes difficult. We become dependent on third parties when we are allocated to customers. Since emails and links are not always answered. &quot;,1
"Space for learning, the possibility of working in different projects allows us to know different industries and skills at all times. In addition to the investment in development that appropriate company does.",1
"Sometimes disloyal competition, potentiated by the evaluation process and variable remuneration. It discourages those who are less bold in self-promotion.",1
"The only positive thing I got in the company was the friendships that I made, because to work in this company have to be united with your team or you fall",1
"HR is a mess, late payment of reimbursement, payment of benefits wrong, to want to have a career plan has to pull someone&#39;s bag, small salary for a lot of work, if you do not take care you end up exercising more functions than presents your contract and they do not increase your salary and neither does the position change and if you complain is a reason for resignation, if you claim your benefits when they do shit and you complain the next day you already sign your resignation, happened to several people who worked with me.",1
A great company that gives you many benefits and allows you to understand what it intends to do for the suppliers that you are allocated which is very good!,1
"A great company that gives you great organizational learning. I worked as a Supplier, so I was more absorbed by the client&#39;s culture than the company itself &quot;",1
"Environment, locality, work",1
"People, managers, coordinators",1
"Environment, flexible hours, how to treat employees with many events on days such as children&#39;s day, Easter etc ... Organization of the company as a whole.",1
"The company does not have a robust road plan with constant growth opportunities, low pay",1
"Good salary average in the market, payment on time, reasonable benefits and possibilities of growth to make career in the company, location of easy access since it is in the center.",1
"There is a certain lack of disclosure of internships or other areas of the company, the opportunities disclosed are not always accessible.",1
"Good benefits, have challenging projects and provide great professional growth. Opportunity for growth is reality by merit.",1
"Leadership is not very well defined, the in-company mentoring program is random and does not seek to marry your and your mentor&#39;s skills.",1
"Good stability, the company has investments in new technologies through TOTVS Labs. Benefits are the market. The new headquarters is very cool, Google standard. Several units scattered throughout Brazil.",1
"Technological direction is exceeded ... Although the climate is cool in the matrix, in the units is not the same. Lack of clear direction with respect to innovations. Too much politics and little meritocracy. The bureaucracy is too big!",1
"Payment in day, and good benefits, internal work is very good because the benefits are better yet",1
"I&#39;m an outsider and I&#39;m a customer, so I find communication very flawed by TH.",1
Team that helps and seeks to seek results in the face of everyday difficulties,1
"There is a lack of career planning and management often becomes a bottleneck of information, as if there is no need for the lower ranking employee to contribute to the company",1
"There is no positive point, no healthy work environment, no cooperation or quality of life, no counterpart, only work and politics",1
"Environment of gossip, environment without motivation, forcing to be a pulls bag, without a financial counterpart, makes himself much and pays little, without a career path",1
"Large company, Organized policy. .",1
"Lack of career plan, performance evaluation, low salary, low food value because it does not fit with the work place which leaves much to be desired.",1
"Wages by day, Benefits, Great school. The company itself has a very good and still growing structure of management, which will improve even more.",1
"professional is very neglected by the management of the operation, causing an overload of Rh to motivate professionals (activities that should be done by management)",1
"People work very well as a team, it is common for people who leave the company to return after a while because of this friendship. It sucks to have to write 140 characters in order to send the sentence.",1
"Lack of transparency. You never have visibility of what is happening, when the client puts you on the wall and starts asking questions is embarrassing.",1
"Teamwork and relationship with contract leadership is very good, they always help and assist when possible. The ticket also has a satisfactory value. The people I worked with were excellent. You learn a lot by working here, both technically, both in the relationship with the client.",1
"As there are several contracts and you end up staying in some client, you end up staying away from the company itself, not participating in the company&#39;s culture, its growth and its internal opportunities. They&#39;re trying to make it better, but I still can not feel it.",1
"It was a cool place to work, there were interesting people in charge. The place was clean and the salary arrived on time. It was good there.",1
"The company does not listen to you, you are just a number and if you try to talk to a manager, he mocks you to the other clerks in private conversations.",1
"Freedom and flexibility, the company does not limit its ability to carry out activities.",1
Some sectors are highly inefficient.,1
"Company culture, good working environment in some areas and perspective of growth and career. It is a place where ethics is taken seriously, in compensation the valuation of people is increasingly in the background.",1
"Dell is becoming a company without identity due to being in constant change, without there being a structure ballast that sustains the changes. In operational areas, processes are plastered and people are limited to following what is proposed, with little role of participation.",1
Effortless and very capable team to meet the demands. Company offers several benefits and seeks to develop integration activities among its employees.,1
"Attempted implantation of the culture of the matrix in the branch that had different points. Teams sharing the same physical location (walking), generating noises that hinder development. Several requests for improvements are blocked by senior management.",1
"The company is excellent for those who want to learn and develop. You get in touch with what&#39;s best in the new era of Industry 4.0, countless cultures and great tools. The opportunity to add Skills to your career is very good.",1
"The evaluation is very bad, not prey to meritocracy, but politics. There is a risk of you getting into a project with poor leaders, especially those absorbed by BPS projects, who do not have the culture that the CIA preaches.",1
"A positive point is related to the benefits that is separated from the gross salary value, so you can divide the best way. The company has the opportunity to enter international careers",1
"I do not know much about the company because I am allocated a client in Taboão da Serra, but colleagues have had problems related to payment, and do not have a negotiation very favorable to the employee who is joining the company.",1
"Company with young concept, many trainings and open to discussions, respects its customers, does everything to serve its customers in a simple way.",1
There is not .,1
"Good salaries and benefits (above the market average) culture that promotes remote work, flexibility in schedules an"Very long career growth - the model is still that of the old generations, in which you have 10 years to advance in the company. A lot of bad people stay there for politics. Constant threat of losing the job due to cost cuts.",1
"An innovative company that values ​​the associate and has several values ​​and a culture of respect as the preservation of the Environment. It has snack, massage and some other services for members.",1
"The company itself pays much less than the others in the Algar group, for you to gain a position in addition to attendant, you need to pull a lot of bag or have a good Q.I. For this reason the company has few professionals capable of differentiating qualities and taking advantage of new talents.",1
"Internship program well structured and with careful selection, there is no excessive collection and the schedules are respected",1
"Stagnant company in the IT services market, ZERO stability, limited opportunities and no-job policy and salaries.",1
Company Resource helps a lot that officials have learned fast and become smarter.,1
Some officials had to live with the deaf.,1
"The benefits, and helps co-workers are nice makes the environment better, helps day care, ticket and cool, the plan is shared",1
"Slavery, do not decide the schedule and scales, can not be programmed with anything, can not make a college because one month works in the morning in the other works the afternoon and so it goes",1
"It is a very well-respected company in its field, has an excellent package of benefits and offers good training to its employees. It is always updating and its offices offer much comfort and practicality.",1
"The company emphasizes the value of the work of its employees in the success of their projects; however, the majority of managers do not share this idea since they only care about interacting with employees of the same level or who are very close to their own. Opportunities for growth do not happen by meritocracy but rather by the indication of friends and relatives. The average wage is below the market.",1
market.",1
"Corporate benefits, gym, discount with several stores of various segments.We have gymnastics, coffee for free, cafeteria, atmosphere in Alphaville is relaxed.",1
"Must improve processes and charge more actions of managers, hierarchical escalation should work better, have too much boss in a single area or operation.",1
"Pleasant environment, people help in the difficulties freedom of learning training constant good weather. Good relationship with managers",1
benefits could be better sosoes help in the difficulties freedom of learning training constant good weather. Good relationship with managers,1
"Honor your day-to-day engagement with the associate and enable collaboration of ideas for improvements in the company&#39;s internal processes. Provides profit sharing to members, among others.",1
"Need to: Improve employee compensation. Improve the calculation of the stipulated goals for payment of the company&#39;s profit sharing, seeking individual and collective evaluation forms for each associate.",1
"flexible schedules, club, state of the art technology",1
"Career plan, leaders with backward thoughts.",1
"It is a company that empowers your employee and gives opportunities for growth within it, contributing to the benefits and well-being of the operator.",1
"Some &quot;senior&quot; positions are exercised by persons incapacitated for the designated function, thus taking actions taken and turned to the &quot;personal&quot; side rather than the &quot;professional&quot; side.",1
"I did not see positive points to the point of making me comment, only the RV and a good benefit but with the price of things of hj can not pass nor 15 days",1
"We have to fool people all the time to sell lines that they do not want to be able to hit the targets. Absurd goals of 100 lines per vendor, even knowing that the market is saturated, the greed of the company wants to have the largest market share with lines that customers do not use",1
"Well positioned in the market and willing to grow in participation, through the relevant acquisitions that have been making. Ethics in the sense of adopting fair competition and also in the sense of not forcing use of proprietary solutions to its customers",1
"There is interest and determination, but there is something to be done to move, in fact, from a structure focused on direct sales to a structure that more supports sales through channels and business partners",1
"The company has a great process of valuing human capital, invests in technology, tools, training and prioritizes the professional regarding the relocation process.",1
The company needs to give more focus and agility to immediate customer requests to avoid wasting talent.,1
Salary in day and something like career plan,1
"Ericsson of the Technological Park of São José dos Campos is not part of the real Ericsson. It is a company cut off from civilization, full of trainees, low wages and unorganized management.",1
"Infrastructure super renewed, opportunity of intra-entrepreneurship depending on the area, many opportunities in the areas of the company itself, contact with technology.",1
"Culture very relational and little meritocratic, leadership often resistant to change, many manual processes depending on the area, salary below the market when compared to companies of the same size.",1
"Freedom to perform 1 home office in the week, space for games like: video game, company adopted cool dress and released men work bermuda.",1
Very centralized company in the head office in MG and ends up tying the rhythm of the branches and consequently the associate can not develop his career with more opportunities,1
"Excellent events, teams with high technical level, quality stage programmed good conversion into effective, nice IT office architecture, quality gifts.",1
"Below-market compensation, uncompetitive benefits. Little margin for negotiation even if you want to stay in the company. &quot;Unprepared&quot; area management. Too much penalization promoting meaningless restructuring. Technology and Product often misplaced (at least on Bit Services)",1
"work climate very good, people are very collaborative. There are plenty of opportunities to learn new fronts and teams are very open to sharing knowledge. You can completely change your career and stay the same. company.",1
"There are many structural changes, and this undermines career planning. It is difficult to have creative and proactive thinking in an atmosphere of insecurity.",1
"Climate for employees who work internally, however, for employees who are allocated to customers, this is not taken into account.",1
"The employees who are allocated to customers do not feel part of the company, Totvs could find a way to improve this point.",1
"At Sonda, we have the possibility of flexible hours and autonomy to perform our function, besides a certain stability provided",1
"There is no plan of positions and salaries, the salary is low for comparison to the market, the internal systems and the integration of the several areas leaves to be desired",1
"Good company to work with. Good benefits, and a pleasant environment. Well located, and working with interesting technologies. The projects are varied. There is mobility.",1
"Salary leaves something to be desired. Career growth is slow, and sometimes people of strength are more valued than internal talents. Very large dependence on self-promotion.",1
Working in the area you study is very rewarding. Learning is giant. Worth Feeding. Impactful projects and that adds a lot in the professional life.,1
"Distance from company headquarters. With this distance, the company does not have a clear vision of the difficulties that we have and what we think of the company.",1
"Excellent benefits package, such as corporate medical and cellular agreement. Mobility to work out of the office. Good Motivational Campaigns",1
"Career plan, leaves a little to be desired ... very difficult to be recognized within the area that operates, however the company facilitates the transfer between areas which helps develop career and professional",1
"Payments up-to-date, benefits such as food / meal vouchers, health insurance, dentistry, large cafeteria, career plan with the possibility of working in several areas.",1
"Management exerted exaggerated pressure on supervisors and many (in my industry, I can not speak of other sectors) were dismissed without proper humanistic management which the company preaches to reach goals.",1
"It&#39;s a good place to work, people are cool, work is not boring, coexistence is quiet, activities done are quiet, but could improve.",1
"What everyone complains about: low salary, the 6x1 scale that could be different, a lot of collection and little assistance and of course, lack of growth opportunity.",1
Wednesday breakfast. Co-workers help each other. There is concern for employees when you need them. Sometimes flexible hours.,1
No stability. The employees do not care. Contract flex. Low pay. No health insurance. No transport. Without covenant. Unnecessary pressure &quot;,1
team work together and willing. Nice environment in branches. Nothing more to add as a positive point. Just that. With nothing to add.,1
"Benefits, low wages, lack of opportunity, protectionism, no chance of growth, incapacitated management, small business",1
"Consolidated company with many benefits for employees, great opportunities for growth. Great work environment with people who accept your suggestions.",1
"Because it is a big business, some things are very bureaucratic. There are many processes, which can take a little of your time in day to day. The company has a very good turnover, but the goals and the distribution of profits are not very favorable to the employees.",1
"Some opportunities to learn new things. Depending on the job sector the staff can be good. I do not see many good points, I think that by working with allocation we have the chance to be hired by a good company.",1
"It devalues employees, has no career plan, no PLR. The company lays down former employees to hire trainees and sells them as seniors.",1
"The culture of the company is very cool, we have several training and support to carry out the activities that we are proposed, I recommend Ericsson.",1
"Undue pressure due to the reduction in the number of employees, many are overburdened and stressed, this ends up hindering development.",1
Company seeks to have a good climate. Executives are very considerate and maintain an open door policy. Good facilities for work.,1
"Company has too much bureaucracy. The suggested improvements happen very slowly. The processes and decisions are managed by few people, there is a lot of centralization.",1
"Great learning, good company for beginners, good structure for learning, good company for beginners, good structure Great learning, good company for beginners, good structure",1
"Little chance of growth, earnings below the market Few chances of growth, earnings below the market Few chances of growth, earnings below the market",1
Robotic technologies Friendships of people of the same level of hierarchy Easy location possibility of stock purchases Has subsidiaries in other countries to work,1
"Very low wages, devaluation of employees Lack of opportunity for leadership careers does not encourage employees to grow",1
"It does not delay payments and benefits, well structured company, I generally like to work in the company, but could be better, with no prospect of growth.",1
"There is no supervision of superiors in the company. Career plan only happens on paper, I do not even receive email for a possible application in another vacancy.",1
"Flexible schedule, no punctuation, contact with foreign colleagues and practice of the English language daily. Possibility of moving abroad by the company.",1
"Many managers in each team, the ratio in relation to the number of employees is very high. Although you have a well-defined career plan and instructions on how to get promoted in the company, promotions do not happen quite clearly and people do not always agree with the way this issue is handled.",1
"Great package of benefits, excellent physical structure, education assistance, recognition in the market as a leader. Constant innovation in technology.",1
"With the growth of the company, new verticals were created to increase the billing and expand the client portfolio. However, the collection by results does not follow the planning carried out to achieve such result. This end up compromising the employee&#39;s performance.",1
Culture and well-defined values. People are collaborative and focused on improving what they do internally and for the client. Challenging projects,1
The company could fit to pay better wages or more competitive to the market. Another important point is the lack of clarity in the evaluation process,1
None. There is no way to think of any good points. The most messy company I&#39;ve ever worked on. Unfortunately I only have negative points from this company.,1
Company does not comply with what was agreed in the interview. From the first day until the last I had problems with benefits and the like. Any problem that the official has will always be called that takes 3 days to be answered and until the solution can take months. &quot;,1
- Flexible working hours - Home office bureaucratized - Good remuneration if you negotiate well - Pleasant environment and close to the subway,1
"- Does not have a career plan - Wage disparity to perform the same function - Standard benefits - At certain times, it is very customer-oriented and honors employees",1
"Work environment, home office, benefits, salary, challenges, work team, events, growth, projects, training and development",1
"Bureaucracy, management, communication of the manager, lack of opportunities in Curitiba, lack of preparation of some professionals, processes, quality of life",1
"Company with great culture that always seeks to be always improving and innovating the solutions that are manufactured within the company, enabling a great work in conjunction with the teams making possible enormous learning of how a great technology company works.",1
The remuneration is not so good and it does not get much higher than the labor market and some cases of specific dismissals within the company are informed instantly without giving feedback to the employee.,1
"Always up-to-date payment, good working environment, health plan, food and meal vouchers, competent managers and understanding of the service.",1
"The company does not offer a job and salary or career plan, internal recruitment system is inconsistent and inefficient hiring system.",1
Relaxed atmosphere flexible hours comfortable environment freedom express your ideas Ambulatory doctor Nutritionist Popcorn in the afternoon,1
PLR low VA low VR Low Promotion usually takes Medical agreement for dependent Career plan Holiday PLR VA VR Promotion usually takes &quot;,1
"Career development opportunity, balanced and prosperous work environment for professionals who normally stand out in their work.",1
"Many managers who can not manage people, an old-fashioned work environment and who do not see the diversity of the 21st century professional.",1
"The climate of the marketing areas in general is incredible. I would say that Claro&#39;s great strength is people. Good location, and by having a lean structure you do not need to reach very high positions to be involved in large projects and with the largest partners in technology, innovation market.",1
"There is no career plan. Salary below market. Very inconsistent organizational structure, unclear company goals, high workload.",1
"Organization, great people, education and way of treating the employee, many job openings and especially attention by the incredible phone",1
"They take too long to recognize a good employee and when they acknowledge he gets stuck in his position for being good there, and they promote what has more time of home for time not for quality",1
We have great freedom of home office and flexibity of schedule (as long as the demands are delivered promptly!). The environment is good to work with!,1
Difficulty of promotions and salary increases. The process is heavily plastered and virtually there is only promotion when it is for resource retention.,1
"The company has good benefits, I am allocated in customer, and I do not have much to talk about the company&#39;s internal politics and culture, the company has payment on time, good benefits, VT, VR, VA, VC, has an agreement with some institutions education, entertainment, health, among others. Has health insurance, dental and life insurance with discount sheet.",1
"Difficult to open internal space for developer, the focus is Java. Difficult to get a salary negotiation, at least for those who stay in customer like me.",1
"Work schedule. Often this can be the most important, if the schedule is for you can go without fear. there are varied times some anger will fit with you.",1
Low benefits. The company always finds a way to discount anything. It has a quality sector that always takes money from employees.,1
"A few leaders are really good, they think humanly, payments are always up to date, very good team to work with, always striving",1
"some managers are only in the company for the account of family, there is no opportunity for career, many charges for little feedback, prevailing gambiarra culture for everything.",1
"The company values the employees and worries about their well being, providing benefits that really help in the day to day !!!",1
"Career is a delicate matter, since 99% of the positions are located in SP! You have to be willing to move, to grow and to get something new.",1
Among the positive points I highlight the benefits such as health plan and company culture of welcoming new professionals and whether people are starting in the job market.,1
Among the negative points I highlight the devaluation of the professional in the salary issue and the postponement of promotions of professionals qualified to work in higher positions. &quot;,1
"Great company, good chances of growth. Great customers, good knowledge in the retail industry. Freedom in some ways facilitates day by day.",1
"Swollen organizational structure. Traditionalist model, difficulty to change, mix in management. Precarious building structure. Politicagem leaves the scenario more complex and time consuming.",1
"At the Recife unit specifically the weather is quite relaxed, the people are excellent and engaged. The work is not so drawn and the quality of life is one of the strengths of the company.",1
"At least in Recife unit works with public clients and this makes working difficult. There is not much motivation to work on the projects because they are not challenging enough. Another serious problem of this unit is the disconnection with the general identity of the company. The headquarters has no characterization of brands, branding or anything that identifies the company. Sometimes we see that the other units scattered around Brazil have marketing actions, customized venues, social projects, etc. However, in Recife if a person enters the headquarters of the company will not know what it is or what the company is in fact. This is ridiculous.",1
High learning environment and competent and qualified people. With Active Business Partner model and partner of the,1
"It can improve in remuneration, the average value of remuneration is below the market, which impacts on the long-term permanence of some levels of position in the company.",1
"The most positive point is the people of the teams, who help each other a lot. Especially when it is allocated on the client, a lot of help for everyone to grow together",1
"HR does not know you exist, you can open called and send mail that they just can not help, this happened to many co-workers. The management does not care about customers or employees, they just want to know about SLA being fulfilled, I do not know what it&#39;s like to work inside (in uberlandia)",1
"every minute you make the most worth as hour bank, flexibility of schedules, cup to take lunch whenever you want, despite the flow in the kitchen.",1
"The company itself has a good idea, but the employees chosen to realize the growth of the team are very unmotivated, (multipliers), are unmotivated believe that accommodated and unfortunately the larger managers do not identify because the fearful team end up accepting for fear of losing the job and it ends up that the end customer service becomes of poor quality doing so the analysts work unhappy, that was the reason that leaves, much rotation for lack of training being that the work itself is very pulled.",1
"Flexibility of working hours, punctuality in payments, growth opportunity, a good number of benefits, including training courses and certified reimbursement.",1
"Poor management, low salary, few opportunities for growth, sloppiness with teams and differentiated treatments with employees who have just joined the company.",1
"Good work environment, development opportunity, on-time payments, experience with large clients and multinationals.",1
"Define a career plan for employees, improve the benefits, a lunchroom promote specialization for the staff",1
"Compensation and the jovial climate are strengths. In addition, the sales force is a benchmark in the market and the move to other areas and teams is encouraged by having them expand their knowledge by learning new things.",1
The company discloses a meritocratic environment but in practice it is evident the promotion by politicagem and simply networking. Management in general does not care about human capital.,1
Flexibility Dynamism Great customers Good customer feedback Affordable leadership Commitment to deliveries Honor your commitments,1
Needs greater integration between operational areas Needs greater investment in leading technologies and dissemination to operational teams Improve support areas &quot;,1
"A large company that has a range of opportunities, professional growth and according to the qualities, skills and qualifications according to the profile",1
"In general, the number of employees concentrated in the same space, causes, at times, a blur in procedures and even passing unnoticed communications failures",1
The team is extremely collaborative and helps you to solve the problems that arise during the day to day. Time management works very well and there are enough competent professionals,1
The HR and Executive part takes a long time to deliver on the promises that are made and these sectors are very messy causing several frustrations. Every time there is need to change benefit is a childbirth &quot;,1
"Great learning, structure, innovation and growth forecast. Great technological support with pcs of first line support face-to-face and online.",1
"Human resources totally disorganized, delayed in several aspects, VR, VA, online registrations among other things. With certain modifications, employee support will be perfect.",1
"Work environment is satisfactory, in addition there are also flexibilities that help in the personal life of the employee. Esquipes well prepared and engaged.",1
"Low recruitment of trainees, which prevents growth in the area in which they entered. Hiring often happens on other teams, with lower entry grids.",1
"Climate Committee, parties, relaxation classes, rest room, well organized cafeteria. Air conditioning very good. Organization of schedules.",1
"You do not have overtime, just hours bank. The salary could be better with overtime. There&#39;s a TV in the cafeteria. Few opportunities to grow.",1
"The company overall is cool. In my case, a good split up in the Flex bag (CLT Flex) and the manager responsible for the people care is committed and present.",1
"HR is a bit on the old line. Obey! You missed! I want this for yesterday! Unfortunately, in the few opportunities I had contact with them it was kind of like that. Support teams seem a little disgruntled, because the service is usually not the best.",1
"Career development, innovative products, high level of employees, flexibility of schedules, benefits above the market average",1
"Internal bureaucracy, focus on the short term, imbalance of resources between the various areas of the company, complex evaluation process and no practical results",1
"Tranquil and undisturbed environment, clarity in dealing with difficulties and search for resolution before any drastic attitude. You work in peace. Just have commitment and do your part.",1
"Until then we had a problem with air conditioning that took time to be resolved, the bad characteristics are only limited to this episode, which when resolved no longer left to be desired.",1
"Good structure and good growth opportunities. Pleasant, collaborative environment, with constant encouragement for improvement. Valorization of the professional.",1
"Many hours of work, not providing the leisure that is due to every human being. Pressure for travel and business outside the employee&#39;s home.",1
Pay all rights to employees. Always give courses to your employees. A well-run company and employees have free access to top-level people to try to solve something that is relevant.,1
There&#39;s a lot of bureaucracy to solve problems that are often small. Sometimes management is a bit lacking. Sometimes it decreases expenses from one side to another in the other. Wages are a bit low.,1
"Pay in day, has benefits like vt, vr, medical assistance, courses in the intranet, discounts with partner companies, end of year party very good.",1
"Lack of career path opportunities as a third in clients, perhaps working within the own stefanini opportunities would be better, but as third leaves to be desired.",1
"Very good company to work for, its culture is well founded among the employees and with that the environment to work is the best possible.",1
"The way they apply wage actions is still in need of evolution, but otherwise there is nothing to be said as they provide a framework for working very well for employees.",1
"Relaxed atmosphere, great professional learning, agreement with IT courses, flexible working hours and well-defined roles.",1
"Ticket meal less than the food values of the area in which the company is, should give employees opportunities for vacancies that arise rather than looking in the job market, allowing for internal career growth.",1
"Stability, it is very difficult for the company to send you away, if you perform the function you like and are satisfied with your salary is a company for you to work for years.",1
"Company with no career plan and no employee valuation, when a employee is able to move up, he continues to receive the same salary as the initial job.",1
"The company offered me the opportunity to start my IT career, but after some time observing how the management of the industry works it was clear that there is a lot to improve.",1
"The management is inconsistent, changes the alignment a lot. It is concerned only with the vision of the indicators and not with the actual satisfaction of the client or employees.",1
fixed in the north zone away from the transit of sao paulo has a good environment for coffee is a stable company accompanies the development of technology,1
"investment in training is not for all employees, few employees are trained to evolve technologies. Very swollen company, with lots of people who do nothing and lots of slow people.",1
"Opportunity for professional growth, nice people to work with. Opportunity for professional growth, nice people to work for",1
"HR far away from employees, managers are also very distant from the employees allocated to the client, HR delay to meet certain requests",1
"Relaxed work environment, competent technical staff, offers freedom to develop activities, encourages the creativity of participatory coordinating staff and integrated with the team.",1
"Little investment in the technical and human development of the employees, seeking in the market technicians with the competence they need and dispensing technicians whose competence is no longer of interest.",1
"Company of great name, which maybe positively influences in the beginning of the race. Opportunity for positive global trainings (when time available for the official to carry out such training)",1
"Company with a very precarious staff management of new employees. In addition to the VERY below average salary, it charges exorbitant commuting with no regard to the employee.",1
Opportunity to participate in good projects depending on your experience. Large company with good organization and structure.Add to the knowledge.,1
