id,user,avaliation,former_employeer
13,Funcionário,"Prós: A empresa tem alguns projetos bem interessantes na área de desenvolvimento, principalmente no site do Eldorado, que tem muitos projetos com novidades e dependendo da área que você irá atuar o horário flexível. Contras: Acredito que por ser uma empresa grande, o maior ponto negativo é na gestão, funciona para algumas áreas e para outra nem tanto. Outro ponto negativo são as vagas disponíveis, um exemplo disso é no caso de estagiário, se a área tem 3 estagiários e 1 vaga, provavelmente os 2 não vão ser efetivados. Conselhos para presidência: Pensar um pouco mais no bem estar dos funcionário, ouvir funcionário de uma forma mais próxima para que a empresa possa entender insatisfações e fazer uma melhor gestão de vagas disponíveis.   ",False
14,Estágio,"Prós: Ótimos benefícios, dependendo do seu cargo você recebe uma excelente PL. As instalações do HQ são hiper modernas. Plano de Saúde e Odontológico. Contras: Pouco recurso técnico para trabalhos rotineiros. As vezes é melhor usar computador pessoal do que usar o computador da empresa, muito ruim essa experiência   ",False
15,Gerente de Projetos PMO,"Prós: O clima das areas de marketing no geral é incrivel. Direia que o grande forte da Claro são as pessoas. Boa localização, e por ter uma estrutura enxuta você não precisa alcançar cargos muito altos para ser envolvido em projetos grandes e com os maiores parceiros do mercado de tecnologia, inovação. Contras: Não há plano de carreira. Salario abaixo do mercado. Estrutura organizacional bastante inconstante, metas da empresa pouco claras, alto volume de trabalho.   ",False
16,"Operador de Atendimento - Ex-funcionário, saiu em 2019","Prós: Ambiente descontraído, infraestrutura agradável, oportunidade de uma grande experiência, sempre havendo desafios, uma grande experiência na área de e-comerce Contras: Falta de benefícios tais como plr, vale refeição e/ou vale alimentação / cesta básica / bônus por merecimentos de metas batidas ou plano de carreira traçado   ",True
17,Analista de Relacionamento Júnior,"Prós: Apoia a diversidade pois trabalhamos com todos os tipos de pessoas; Paga rigorosamente em dias; Como a empresa está em crescimento, é gerado um grande volume de oportunidades internas de crescimento. Contras: 1. A empresa é desorganizada, e isso parte da gerência que não compartilha com a operação as mudanças feitas constantemente. 2. WFM totalmente ineficiente, escalas prejudiciais aos agentes o que gera um alto absenteísmo. 3. Salários baixos para funções desgastantes. 4. Cargos novos para pessoas que são próximos das pessoas que realizam as seleções e participam de entrevistas. 5. As pessoas querem crescer de cargos, mas quando surgem as oportunidades, contratam pessoas fora do mercado, dificultando o dia a dia de quem está dentro do processo e assim desestimulando o crescimento das pessoas que se esforçam. Conselhos para presidência: Pensem nos agentes como seres humanos e pessoas que precisam viver bem, estar saudáveis. Se a gerência folgasse as terças e quintas (como toda operação) acredito que não estariam satisfeitos também.   ",False
18,"Cobrança - Ex-funcionário, saiu em 2015","Prós: Empresa procura tratar bem a sua equipe e os funcionarios da linha de frente. Liberdade de trabalho, horários flexíveis, excelente pacote de benefícios como alimentação, seguro saúde, seguro de vida e descontos nas empresas conveniadas. Exige alta performance dos funcionários mas possui recompensa em forma de PLR e, para os executivos o bônus anual. Contras: Falta de estabilidade e transparência. Corte geral não avisado. Reuniões não avisadas antecipadamente. Gestão fraca em alguns pontos. Mapeamento errado. processo precisam melhorar.   ",True
19,Analista Jr,"Prós: Benefícios e parcerias com outras empresas, principalmente as escolas e universidades, que permitem um aprimoramento das habilidades dos funcionários Contras: Diversidade só no discurso e muita demora para ascensão na carreira, além de um ambiente estressante e muito competitivo entre os funcionários   ",False
20,Coordenador,"Prós: É uma empresa grande com muitos clientes importantes e que, dependendo do gerente, é possível ter um plano de carreira com todo suporte necessário para construir uma carreira sólida Contras: Às vezes temos a impressão de que os departamentos não se conversam e os processos internos são muito morosos ou não claros. Seria interessante ter um portal de processos para que qualquer colaborador pudesse saber o que fazer e com quem falar. Conselhos para presidência: Olhar mais para os seus colaboradores e reconhecer o trabalho que eles têm feito, em especial nos clientes   ",False
21,Estagiário em Engenharia,"Prós: Flexibilidade, dinâmica e eventos para funcionários. Ótimos benefícios de plano de saúde, vale alimentação e transporte. Bom trabalho em equipe Contras: Pouca possibilidade de crescimento. Estagiários são treinados por dois anos sem a menor possibilidade de contratação. Muito competição e pessoas querendo passar por cima de outras   ",False
22,Consultor de Negócios Júnior,"Prós: Reconhece o valor de seus funcionários . Ótimos benefícios Gestores estão preocupados com a qualidade de vida dos funcionários Trabalha com métodos ágeis Contras: Precisa buscar alocar os programadores em suas áreas de interesse, é comum ver um programador C# programando em VB6. Isso desmotiva o funcionário. Conselhos para presidência: Façam investimento em hardware. Nenhum programador tem máquinas tão ruins em suas casas.   ",False
23,"Atendente de Relacionamento Júnior - Ex-funcionário, saiu em 2018","Prós: Cultura organizacional positiva, parceiros de trabalhos legais, benefícios e convênios da empresa são bacanas, supervisores acessíveis e bom ambiente. Contras: A rotatividade de horários é muito grande, não da pra você se planejar por mais de 2 meses. Salario baixo, empresa muito longe de qualquer ponto da cidade.   ",True
24,Analista Funcional,"Prós: Os benefícios são bons - trabalho em uma terceirizada, ganho VR, VA, plano de saúde e seguro de vida. Acredito que em termos de salário e benefícios, é uma boa empresa se você ficar num cliente grande, como Petrobras. Contras: Como terceirizada, poderia melhorar dando mais apoio aos funcionários externos. Os prepostos trabalham como meros contatos da Sonda dentro da empresa para qual prestamos serviços, eles não coordenam nem sabem o que fazemos. Conselhos para presidência: Os prepostos precisam ser mais ativos, na terceirização para grandes empresas. É necessário que eles sejam mais coordenadores que meros ""contatos"" dentro da empresa   ",False
25,"Supervisor - Ex-funcionário, saiu em 2014","Prós: Ambiente amigável, boas oportunidades de aprendizagem. Os superiores imediatos das operações não cobram tanto, apesar das metas estabelecidas. Contras: Baixa valorização do profissional (financeiramente). Até oferece plano de carreira, mas com pouco retorno e, por muitas vezes, o título do colaborador não corresponde às atividades executadas.   ",True
26,Estagiário,"Prós: Benefícios de transportes para cidades próximas; Bom entendimento das gerências para com as suas necessidades de estudos; eventos internos constantes para apresentar novos produtos e áreas da empresa; política de ""abertura"" para dialogar e procurar desenvolvimento com profissionais de diferentes áreas. Contras: Atividades de feedback, avaliação e reconhecimento do trabalho do colaborador não muito claras. Apesar de a empresa incentivar em sua estrutura um fácil diálogo de colaboradores entre diferentes áreas, muitos colaboradores não são abertos ao diálogo e troca de ensinamentos. Conselhos para presidência: Melhor padronização de avaliação de desempenho e crescimento profissional.   ",False
27,"Gerente de Relacionamento - Ex-funcionário, saiu em 2018","Prós: Ambiente de trabalho saudável. Pessoas incríveis e empenhadas. Teve grande crescimento nos últimos anos e proporcionou reconhecimento a muitos dos antigos funcionários. Contras: Não vejo algo de forma negativa, em comparação a outras empresas que trabalhei. Talvez houvesse algum erro no gerenciamento dos líderes, na época que trabalhei.   ",True
28," - Ex-funcionário, saiu em 2018","Prós: Remuneração acima do mercado. Acesso a treinamentos de alto nível. Ferramentas de trabalho são de última geração. Alto nível de conhecimento na prática de negócios e tecnologia. Permite trabalhar em diversas indústrias e ter vivência em experiências de negócios distintos Contras: Prepare-se para competição que muitas vezes não é saudável. Falta de direção entre áreas que fazem as mesmas coisas com único objetivo de aparecer na foto. A alta liderança precisa ser renovada já pois se diz atual mas pratica ainda o mesmo que 10 anos atrás. Se diz com foco no cliente mas não escuta na maioria das vezes. Conselhos para presidência: Um líder numa empresa em transformação não fica sentado na mesa. Adote a prática de cada dia ficar numa área participando de forma construtiva do seu dia a dia""",True
29,Analista Programador,"Prós: Organização, otimas pessoas, educação e maneira de tratar o funcionário, muitas vagas de emprego e principalmente a atenção pelo telefone incrivel Contras: Demoram muito para reconhecer um bom funcionário e quando reconhecem ele fica preso em seu cargo por ser bom lá, e promovem o que tem mais tempo de casa por tempo não por qualidade Conselhos para presidência: Avaliem melhor os funcionários e promovam por mérito não por tempo   ",False
30,Analista de Processos Sênior,"Prós: Empresa aberta a novas ideias independentemente do nível hierárquico que você ocupa. Preocupa-se com o bem-estar de seus funcionários, tem políticas de trabalho flexível e home office. Contras: Deixa a desejar no âmbito de algumas lideranças, segue um modelo bastante tradicional ainda, o que deixa a empresa um tanto quanto engessada. Muitos processos burocráticos, demora no tempo de desenvolvimento de carreira.   ",False
31,"Analista Pleno - Ex-funcionário, saiu em 2018","Prós: Salário até acima da media, benefícios espetaculares, ótima localização, RH funciona muito bem empresa dos sonhos para se trabalhar, oferece cursos e certificações Contras: Algumas panelinhas mas isso é normal em qualquer grande empresa, ate o momento com 6 meses de empresa não tenho pontos negativos a apontar.   ",True
32,Gerente de Projetos,"Prós: Possuímos grande liberdade de home office e flexibidade de horário (desde que seja entregue as demandas pontualmente!). O ambiente é bom de se trabalhar! Contras: Dificuldade de promoções e aumentos de salários. O processo é extremamente engessado e praticamente só há promoção quando é para retenção do recurso. Conselhos para presidência: É necessário flexibilizar a transição interna entre equipes e cargos!""",False
33,Executivo de Contas Sênior,"Prós: Gestão e processos definidos. Empresa presa pelos processos, não deixando de lado a questão ética e moral. Funcionário realmente tem desenvolvimento profissional. Contras: Custo com Veiculo. Em relação ao mercado empresa remunera apenas o suficiente para zerar as despesas com o automóvel. Na minha opinião é único item que poderiam melhorar.   ",False
34," - Ex-funcionário, saiu em 2019","Prós: Como principais pontos positivos da Claro Brasil podemos destacar os benefícios oferecidos pela empresa, infraestrutura organizacional e insentivo ao auto desenvolvimento. Contras: Como pontos negativos da Claro Brasil, podemos destacar o programa de desenvolvimento de Carreira ou plano de carreira, critérios e processos não são claros e objetivos.   ",True
35,Gerente de Produtos,"Prós: Reconhecimento, chances de crescimento e boa remuneração. A empresa tem a cultura de valorizar quem está na Companhia e isso cria uma satisfação muito grande. Contras: Os benefícios são bons, mas poderiam ser melhores. Poderia haver um estudo profundo para que essa questão fosse sanada. No mais, é uma ótima empresa.   ",False
36,Especialista,"Prós: Empresa dinâmica e com bom ambiente, salários e benefícios de acordo com o mercado, além de treinamentos para desenvolvimento. Local de trabalho próximo a estação e pontos de ônibus Contras: Situação econômica da empresa instável, fazendo com que investimentos da empresa e aumento de salário dos colabores seja menos frequente. Vr para estagiário possui um valor menor, não cobre o mês   ",False
37,Assistente,"Prós: Estrutura, benefícios. Empresa muito boa para se trabalhar, super inclusiva, oferece diversos treinamentos. Plano de carreira e gestão que atendem as espectativas do funcionário Contras: Poucas chances de promoção, salários baixos em BPS e algumas gerências despreparadas são pontos que incomodam diversos funcionários. Poderia melhorar o vale refeição. Conselhos para presidência: Observar melhor a estruturação de processos em cadeia para uma operação mais efetiva.   ",False
38,Desenvolvedor Fullstack,"Prós: A Empresa possui Bons Benefícios, eu fico alocado em cliente, e não tenho muito pra falar sobre a política e cultura interna da empresa, a empresa possui pagamento em dia, bons benefícios, VT, VR, VA, VC, possui convenio com algumas instituições de ensino, entretenimento, saúde, entre outros. Possui plano de saúde, odontológico e seguro de vida com desconto em folha. Contras: Difícil abrir vaga interna para desenvolvedor, o foco é Java. Difícil conseguir uma negociação salarial, pelo menos para quem fica aloca em cliente como eu.   ",False
39,IT Specialist,"Prós: O conhecimento agregado pelos seniors como pelos cursos disponibilizados valem a pena, porem dependendo da rotina de trabalho so não disponibilizam tempo pra issk Contras: Politicas inclusivas é puro marketing, seguido por apenas um grupo, maior parte do RH, mas não existem politicas internas que garantem tais politicas no dia a dia da empresa como um todo. Os próprios eventos dos grupos de inclusão são poucos divulgados. Além disso salario abaixo do mercado e plano de saúde por co-participação (uma parte do valor do serviço acionado do plano vai ser descontado direto da folha de pagamento e quando der na telha deles) Aqui você é sim so mais um Conselhos para presidência: Garanta que as politicas que vocês divulgam estão mesmo aplicadas no dia a dia   ",False
40,"Assistente Administrativo - Ex-funcionário, saiu em 2017","Prós: Valoriza o colaborador com muitos benefícios e é uma empresa que dita padrão de mercado, tendencias e etc, também fornece uma grande oportunidade de dezenvolvimento Contras: Apenas algumas burocracias incomodam um pouco, poderia ser mais dinâmica com alguns processos, porém dar para entender que seja assim pelo tamanho da empresa   ",True
41,Analista de Suporte Júnior,"Prós: Horário de trabalho. Muitas vezes isso pode ser o mais importante, se o horário for para você pode ir sem medo. tem horários variados algum ira encaixar com você. Contras: Baixo benefícios. A empresa sempre arruma um jeito para descontar qualquer coisa. Tem um setor de qualidade que sempre tira dinheiro dos colaboradores.   ",False
42,"Analista de Sistemas Desenvolvedor - Ex-funcionário, saiu em 2011","Prós: Alguns poucos líderes são realmente muito bons, pensam de forma humana, pagamentos sempre em dia, equipe muito boa de trabalhar, sempre se esforçando Contras: alguns gestores só estão na empresa por conta de familiares, não há oportunidade de carreira, muitas cobranças para pouco feedback, cultura da gambiarra prevalece para tudo.   ",True
43,Analista de Suporte Técnico,"Prós: A empresa valoriza os funcionários e se preocupa com o bem estar dos mesmo, disponibilizando beneficios que realmente ajudam no dia a dia!!! Contras: Carreira é um assunto delicado, uma vez que 99% dos cargos estao localizados em SP! Tem que estar disposto a se mudar, para crescer e conseguir algo novo ",False
44,"Diretor - Ex-funcionário, saiu em 2014","Prós: Uma empresa ótima para se trabalhar, com grande crescimento... tendo culturas, responsabilidades sociais e uma qualidade organizacional muito boa. Contras: No meu ponto de vista não tem pontos negativos, pois é uma empresa ótima para se trabalhar, e com possivel crescimento, basta o seu querer...   ",True
45,"Analista - Ex-funcionário, saiu em 2018","Prós: Liberdade de horários, benefícios, empresa se preocupa com o bem estar dos colaboradores em viagens e deslocamentos, empresa moderna e conceituada. Contras: Salário abaixo do mercado e gestores que não reconhecem o trabalho dos subordinados, com isso muitas vezes seu trabalho não é visto ou não é recebe o crédito que deveria Conselhos para presidência: Criar uma política de reconhecimento para os funcionários e que isso não fique sob a responsabilidade dos gerentes de departamento   ",True
46,Gerente,"Prós: A cultura da Oracle (Face the truth) é colocada no dia dia. Isto algumas vezes pode ser considerado agressivo, mas torna a empresa bastante franca. O grande porte auxilia na geração de negócios devido a abrangência das soluções e quantidade de referências. Contras: A agressividade comercial muitas vezes limita a criatividade dos empregados. Leva-se ao pé da letra que você vive por quarters na empresa. Desta forma, negócios que levam mais tempo, nem sempre quem colhe os frutos é de quem plantou.   ",False
47,Analista de Testes Júnior,"Prós: Benefícios, vale refeição, convênio médico. Colegas de trabalho. Pagamento é feito na data certa, não havendo atrasos. não há muito o que falar, pois trabalho alocado e nao propriamente na empresa Contras: Ambiente de trabalho, por trabalhar alocado em cliente, o local não é agradável, onde não tem segurança, não tem aguá potável, não é fornecido nenhum recurso para os funcionários. Conselhos para presidência: Maior comunicação com os colaboradores alocados   ",False
48,Engenheiro,"Prós: Empresa excelente, valorização do profissional sempre. Lugar onde as pessoas são desenvolvidas e valorizadas Melhor empresa que trabalhei Orgulho de ter feito parte dessa empresa Contras: A empresa devia ter se modernizado mais, criado estratégias para as novas tecnologias. Ter um planejamento a longo prazo, porem, não deixa de ser excelente ",False
49,Funcionário,"Prós: É uma empresa com ambiente jovem, dinâmico em que é possível fazer mais que colegas. Os benefícios, remuneração, horário flexível são grande vantagem. Contras: O mundo de telecom e a empresa em si são muito agressivos e portanto tendem a sobrecarregar determinadas funções, assim estamos sempre com prazos apertados e a pressão é grande.   ",False
50,Estagiário,"Prós: Salário acima do normal comparado as outas empresas de call center. Possibilidade de trabalhar dentro das empresas dos clientes, dando a possibilidade de crescimento. Contras: Pressão exagerada e mercado predatório. Desrespeito com os funcionarios e pouquissima liberdade para se trabalhar, é praticamente tudo bloqueado. Conselhos para presidência: Acreditem mais em seus funcionarios.   ",False
51,"Consultora - Ex-funcionário, saiu em 2013","Prós: Infraestrutura de trabalho que permite que o colaborador após atender alguns requisitos tem a liberalidade de trabalhar em home office durante uma vez por semana. Contras: Numero muito grande de departamentos que dificulta o transito agil dos temas quando estes não estão no radar do core business da companhia. Isso gera no time uma percepção de muita burocracia para as coisas acontecerem. Conselhos para presidência: Agilidade no tramite esntre os departamentos""",True
52,Analista de Serviços Técnicos Pleno,"Prós: Bom ambiente de trabalho, participação nos lucros (PL) e benefícios razoáveis. Faz parte de um grande grupo, com empresas conceituadas, do qual tenho orgulho em pertencer. Contras: Poderia cuidar melhor do recursos humanos que possui. Salários congelados a mais de 5 anos, os benefícios vem reduzindo com o tempo. Não tem plano de carreira.   ",False
53,Coordenador Comercial,"Prós: Se souber negociar bem pode obter um bom salário. Convênio com desconto para funcionários nas lojas americanas, pontualidade no pagamento de salário Contras: Excesso de trabalho, gerência autoritária. Falta de reconhecimento ao colaborador. RH totalmente despreparado atraso e erros nos pagamentos de 13, férias e plantões. Não tem incentivo de cursos, certificações e afins Conselhos para presidência: Maior reconhecimento aos colaboradores, maior atenção do RH aos colaboradores, menos burocracias e hierarquia dos gestores com colaboradores, pagamneto de Bônus seria um diferencial.   ",False
54,Consultor de Marketing,"Prós: foi uma boa empresa , tinha uma qualidade legal, tinha um modelo de gestao bom, mas investiu muito de forma errada em marketing de transformação da marca Contras: esta com muitas dividas no mercado, area comercial esta acabando perde muito em coberturas para as operadoras concorrentes , perdeu om radio e não consegui se sustentar   ",False
55,Analista Desenvolvedor,"Prós: Dentre os pontos positivos destaco os benefícios como plano de saúde e a cultura da empresa de acolhimento de novos profissionais e se pessoas que estão iniciando no mercado de trabalho. Contras: Dentre os pontos negativos destaco a desvalorização do profissional na questão salarial e no adiamento de promoções de profissionais capacitados para atuar em cargos mais altos.""",False
56,"Analista de Benefícios Pleno - Ex-funcionário, saiu em 2018","Prós: As oportunidades de aprendizado são muitas. Como primeiro emprego na área de TI é bacana devido a bagagem que você adquire e em geral conhecimento é sempre importante. Contras: Infelizmente não é uma empresa onde o funcionário é reconhecido, não há um plano de carreira e nem um acompanhamento do RH quanto a isso. Deve-se negociar salario e/ou benefícios antes de ser contratado, depois não terá ajustes ou aumentos. Apenas o que o dissidio do sindicato obriga. Não há equiparação salarial, salario totalmente abaixo do que o mercado oferece e quando é pedido um aumento, o colocam no seu beneficio (VA ou VR) porem nas férias este valor não é recebido. Dificuldade de receber aumento quando sua função é alterada. Gestores despreparados, o que aumenta o favoritismo e falta de comprometimento com os funcionários realmente dedicados. Plano de saúde ruim e com contribuição alta. Máquinas defasadas e sem perspectiva de renovação. A cultura da empresa é o foco nas vendas a todo e qualquer custo, não se preocupam com a qualidade da entrega, apenas para conseguir o cliente.   ",True
57,Analista de Desenvolvimento Júnior,"Prós: Convênio médico e vidalink são os benefícios melhores da empresa e não descontam no salário. A melhor vivencia na empresa passa muito pela gestão do gerente. Contras: GBS tem uma estrutura muito pesada, o q dificulta promoções. Muitos processos que fazem com que os analistas percam muito tempo preechendo, tempo esse que não temos no dia a dia. Carga horária de 44 horas semanais.   ",False
58,"Analista de Sistemas I - Ex-funcionário, saiu em 2018","Prós: Grande compania, chances boas de crescimento. Clientes grandes, bom conhecimento no ramo varejista. Liberdade em alguns aspectos facilita o dia a dia. Contras: Estrutura organizacional inchada. Modelo tradicionalista, dificuldade para mudança, mixórdia na gestão. Estrutura predial precária. Politicagem deixa o cenário mais complexo e moroso. Conselhos para presidência: Plano concreto para produtow. Menos caciques, mais executores   ",True
59,Atendente,"Prós: Empresa honesta e que da oportunidade de crescimento tem vale alimentação paga em dia tem como vc expor suas ideias e objetivo mais depende muito do projeto Contras: Melhorar a comissão melhorar os treilamentos gerar mais conhecimentos sobre os projetos capacitar mais os analista diminuir o valor do convenio""",False
60,Analista Funcional Sênior,"Prós: refeitório dentro da empresa, grande porte, não atrasa salario nem benefícios, possui fretado. Contras: difícil crescimento interno, atualização de carteira, aprovação de cargo e salario feito e aprovado (quase nunca é aprovado) pelo Chile. Conselhos para presidência: Acredito que deveria ter uma sede responsável no Brasil para o melhor desempenho e agilidade em processos internos   ",False
61,"Operador de Soluções ao Cliente III - Ex-funcionário, saiu em 2016","Prós: Inclusão de pessoas com deficiência, lgbt e valorização de mulheres na empresa. Trabalho em grupo incentivado, como pair programming. Máquinas de café gratuito. Contras: Plano de carreira não é muito bem valorizado. Para subir na carreira demora muitos anos e tem pouco incentivo de bônus quanto ao atingimento de metas de trabalho.   ",True
62,Estagiário Superior,"Prós: O ambiente é descontraido e as pessoas são acessíveis, dando oportunidade de contato com os mais diversos cargos e niveis e também de aprendizagem. Contras: Para crescer dentro da empresa, é necessário subir um nivel de cada vez, o que muitas vezes faz com que pessoas competentes e capacitadas não possam se candidatar a algumas vagas.   ",False
63,"Estagiário - Ex-funcionário, saiu em 2017","Prós: Estrutura física bacana, bons equipamentos para trabalhar, banco de horas, assistência médica, ambulatório médico, próxima a transportes públicos, pagam tudo direito. Contras: Gestão burocrática e autoritária ainda com indicados do fundador da empresa, pessoas sem noção de gestão de pessoas,mesquinhos e melindrosos, muita política, estrutura hierárquica rígida, não há sinergia entre as áreas, como adquiriram diversas pequenas empresas, é tudo muito confuso, o clima no geral é impessoal e distante, sem empatia, sem alegria, home office é ofensa, muita rotatividade (turnover), o vale refeição é muito baixo para a região, café só se vc pagar, não tem adiantamento, não tem PLR, sem perspectivas de carreira Conselhos para presidência: Renovar os gestores, adotar métodos mais modernos de trabalho e gestão, como home office, por exemplo.. Adequar o valor do vale-refeição ao bairro, pelo menos 30.00, menos e mais líderes de equipe, mais autonomia aos funcionários e promover interação entre as equipes   ",True
64,Business Development,"Prós: Salário acima da media e beneficios também. Boa empresa pra se ganhar dinheiro. Horários não são flexíveis. Empresa bem conceituada no mercado e com certeza agrega muito ao CV Contras: Gestões totalmente descentralizadas e sem direcionamento. É como se cada área fosse uma pequena empresa dentro de uma outra, com propósitos e metas distintas, a consequência disto é desastrosa e com pouco efeito produtivo.   ",False
65,Analista de Sistemas Júnior,"Prós: Na unidade de Recife especificamente o clima é bastante descontraído, as pessoas são excelentes e engajadas. O trabalho não é tão puxado e a qualidade de vida é um dos pontos fortes da empresa. Contras: Pelo menos na unidade Recife trabalha-se com clientes públicos e isso dificulta o trabalho. Não há muita motivação para se trabalhar nos projetos, pois não são desafiadores o suficiente. Outro grave problema dessa unidade é a desconexão com a identidade geral da empresa. A sede não tem nenhuma caracterização de marcas, branding ou algo que identifique a empresa. Por vezes vemos que as outras unidades espalhadas ao redor do Brasil possuem ações de marketing, sedes personalizadas, projetos sociais, etc. Porém, em Recife se uma pessoa entrar na sede da empresa não saberá do que se trata nem qual é a empresa de fato. Isso é ridículo. Conselhos para presidência: Dêem mais atenção à sede de Recife! Promovam projetos sociais, ações de marketing, personalizem a sede! Não é só de salário que vive um funcionário, ele deseja se sentir realizado e orgulhoso da empresa que faz parte.   ",False
66,"Estagiário - Ex-funcionário, saiu em 2017","Prós: Comunicação por parte dos líderes globais e regionais é feita semanalmente, metas descritas com clareza e objetividade para todos os funcionários. Contras: Burocracia para conseguir auxílio para estudos e atualização, pois depende de muitos fatores e não foram esclarecidos no momento da contratação. Plano de carreira também precisa de uma atenção maior para com todos os níveis de funcionários. Conselhos para presidência: Poderíamos promover mais momentos de interação entre os funcionários (todos os níveis)   ",True
